time,temperature,humidity,precipitation (inch),rain (inch),snowfall (inch),snow_depth (ft),wind_speed_10m (km/h),cloud_cover,kWh,school_factor,kWh_adjusted,hour,day_of_week
1/13/2025 0:00,32.5,32,0,0,0,0.427,1.4,0,34.031897180528325,0.75,25.52392288539625,0,0
1/13/2025 1:00,36.5,34,0,0,0,0.427,1.3,0,24.12740258000172,0.75,18.09555193500129,1,0
1/13/2025 2:00,38.1,40,0,0,0,0.427,2.6,0,25.035096,0.75,18.77632200208965,2,0
1/13/2025 3:00,38.3,42,0,0,0,0.427,2.2,0,22.61153545744972,0.75,16.95865159308729,3,0
1/13/2025 4:00,38,40,0,0,0,0.427,1.1,0,25.37661851833234,0.75,19.032463888749252,4,0
1/13/2025 5:00,36.3,38,0,0,0,0.427,0.8,0,25.47994937883521,0.75,19.109962034126408,5,0
1/13/2025 6:00,33,36,0,0,0,0.427,1,0,30.74203671601294,0.75,23.056527537009707,6,0
1/13/2025 7:00,30.5,31,0,0,0,0.427,1.1,0,38.75670139353001,0.75,29.067526045147503,7,0
1/13/2025 8:00,29.6,30,0,0,0,0.427,1.7,0,39.01528283735208,1.15,29.26146212801406,8,0
1/13/2025 9:00,28.3,29,0,0,0,0.427,1.6,0,43.29816344175965,1.15,49.79288795802359,9,0
1/13/2025 10:00,26.9,30,0,0,0,0.427,1,0,46.09571118251707,1.15,53.01006785989463,10,0
1/13/2025 11:00,26.4,29,0,0,0,0.427,1,0,46.97564909838456,1.15,54.02199646314224,11,0
1/13/2025 12:00,26.4,28,0,0,0,0.427,1.2,0,47.62691174359312,1.15,54.77094850513208,12,0
1/13/2025 13:00,26.2,28,0,0,0,0.427,0.9,0,47.500247518900174,1.15,54.62528465,13,0
1/13/2025 14:00,25.8,28,0,0,0,0.427,1.2,0,49.37715216747124,1.15,56.78372499259192,14,0
1/13/2025 15:00,25.3,28,0,0,0,0.427,1.2,0,48.632576040019366,1.15,55.92746244602227,15,0
1/13/2025 16:00,25.5,29,0,0,0,0.427,1,0,51.51217321657497,1.15,59.23899919906121,16,0
1/13/2025 17:00,25.6,29,0,0,0,0.427,0.9,0,49.40061518614596,1.15,56.81070746406785,17,0
1/13/2025 18:00,25.2,28,0,0,0,0.427,0.7,0,49.86834329002597,1.15,37.40125746751948,18,0
1/13/2025 19:00,24.7,28,0,0,0,0.427,0.8,0,50.612292925806855,0.75,37.95921969435514,19,0
1/13/2025 20:00,24.2,29,0,0,0,0.427,1.2,0,53.404257064370974,0.75,40.05319279827823,20,0
1/13/2025 21:00,24.1,29,0,0,0,0.427,1.6,0,52.83290292368216,0.75,39.62467719276162,21,0
1/13/2025 22:00,24.3,28,0,0,0,0.427,2.1,0,51.30628516191106,0.75,38.47971387,22,0
1/13/2025 23:00,27.7,29,0,0,0,0.427,2.3,0,42.90119895129307,0.75,32.175899213469805,23,0
1/14/2025 0:00,31.3,33,0,0,0,0.427,2.1,0,37.42369085118226,0.75,28.067768138386693,0,1
1/14/2025 1:00,34.7,36,0,0,0,0.427,2,0,29.768485432816966,0.75,22.326364074612727,1,1
1/14/2025 2:00,37,34,0,0,0,0.394,1.3,0,25.368112621760982,0.75,19.026084466320736,2,1
